taxsuborder,pct,predicted_suborder
Xerolls,55,Xererts
Aquepts,85,Xeralfs
Xererts,85,Xerolls
Xererts,170,Xeralfs
Xererts,170,Xererts
Orthents,70,Xeralfs
Xerolls,80,Albolls
Xerolls,85,Xerolls
Xeralfs,85,Orthents
Xerolls,40,Xeralfs
Aquents,85,Aquepts
Xeralfs,40,Xeralfs
Ochrepts,85,Ochrepts
Xerolls,85,Xerepts
Xererts,40,Xeralfs
Ochrepts,255,Ochrepts
Ochrepts,255,Ochrepts
Ochrepts,255,Xerolls
Ochrepts,85,Xeralfs
Ochrepts,85,Xeralfs
Ochrepts,30,Xererts
Ochrepts,680,Xeralfs
Ochrepts,680,Xeralfs
Ochrepts,680,Ochrepts
Ochrepts,680,Ochrepts
Ochrepts,680,Xeralfs
Ochrepts,680,Xeralfs
Ochrepts,680,Xeralfs
Ochrepts,680,Xeralfs
Ochrepts,170,Xeralfs
Ochrepts,170,Ochrepts
Ochrepts,170,Xeralfs
Ochrepts,170,Xeralfs
Xerolls,255,Xerolls
Xerolls,255,Xerolls
Xerolls,255,Xerolls
Ochrepts,85,Ochrepts
Aquolls,85,Aquerts
Xeralfs,85,Xeralfs
Aquolls,85,Aquerts
Ochrepts,85,Xerolls
Ochrepts,85,Ochrepts
Xeralfs,85,Xeralfs
Xererts,50,Xererts
Xererts,85,Aquolls
Xererts,50,Xeralfs
Ochrepts,45,Ochrepts
Xerolls,40,Xeralfs
Xerolls,40,Xererts
Xeralfs,30,Xererts
Ochrepts,85,Xeralfs
Xererts,85,Aquerts
Xererts,85,Aquerts
Xererts,85,Xererts
Xeralfs,85,Xererts
Xererts,85,Aquolls
Xererts,170,Aquerts
Xererts,170,Aquerts
Xeralfs,85,Xerolls
Xererts,85,Aquerts
Xererts,85,Xererts
Fluvents,85,Fluvents
Xererts,40,Xererts
Xererts,50,Xererts
Xererts,45,Xererts
Xerolls,40,Xeralfs
Aqualfs,85,Aquolls
Orthents,85,Xeralfs
Xererts,85,Aquolls
Ochrepts,85,Ochrepts
Xererts,50,Xererts
Xeralfs,85,Xeralfs
Xeralfs,50,Xerolls
Orthents,85,Xeralfs
Aquolls,85,Aquerts
Fluvents,85,Xeralfs
Xererts,85,Xererts
Xererts,85,Xeralfs
Xererts,40,Xererts
Fluvents,85,Xerepts
Xererts,85,Xererts
Xererts,85,Xererts
Xererts,85,Xeralfs
Ochrepts,85,Ochrepts
Xererts,50,Xererts
Ochrepts,50,Xeralfs
Aqualfs,85,Xerolls
Xererts,85,Xererts
Orthents,85,Xererts
Xeralfs,40,Xererts
Ochrepts,85,Ochrepts
Ochrepts,85,Ochrepts
Xeralfs,85,Xererts
Xeralfs,85,Aquents
Xererts,85,Aquolls
Xererts,80,Xererts
Fluvents,85,Xerepts
Xeralfs,90,Xerepts
Fluvents,85,Fluvents
Xererts,90,Xererts
Xeralfs,85,Xerolls
Xeralfs,85,Xerolls
Orthents,85,Xerolls
Orthents,85,Xererts
Xererts,85,Aquerts
Xererts,50,Xeralfs
Xererts,85,Xererts
Xeralfs,85,Aquolls
Aquolls,85,Aquolls
Xeralfs,85,Ochrepts
Xerolls,85,Xerolls
Xererts,85,Xeralfs
Xererts,40,Xererts
Xerolls,85,Xerolls
Aquolls,85,Aquerts
Ochrepts,85,Xerolls
Xerolls,85,Aquolls
Xeralfs,85,Xeralfs
Ochrepts,85,Xeralfs
Ochrepts,85,Xeralfs
Xeralfs,85,Aquolls
Xeralfs,85,Aquerts
Xererts,85,Aquolls
Orthents,65,Xererts
Xeralfs,85,Xeralfs
Ochrepts,50,Xeralfs
Xererts,85,Xeralfs
Xeralfs,85,Xeralfs
Ochrepts,85,Xeralfs
Ochrepts,85,Xerolls
Aquolls,85,Aquerts
Ochrepts,85,Ochrepts
Xeralfs,90,Aquolls
Xererts,85,Xeralfs
Aquerts,85,Xeralfs
Xeralfs,45,Xeralfs
Xererts,50,Orthents
Xererts,85,Xeralfs
Xeralfs,85,Xeralfs
Xererts,85,Xererts
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Xererts,40,Xerolls
Xeralfs,85,Xerolls
Xeralfs,170,Xeralfs
Xeralfs,170,Xeralfs
Ochrepts,45,Xeralfs
Orthents,85,Xererts
Ochrepts,85,Ochrepts
Fluvents,85,Xeralfs
Aqualfs,85,Xeralfs
Xeralfs,90,Xeralfs
Ochrepts,85,Ochrepts
Ochrepts,85,Udults
Xererts,50,Xeralfs
Ochrepts,85,Xerults
Xeralfs,85,Xeralfs
Xeralfs,85,Xeralfs
Fluvents,85,Xeralfs
Xeralfs,85,Xerolls
Xeralfs,30,Xeralfs
Aquerts,85,Xererts
Xererts,85,Xererts
Xeralfs,85,Xeralfs
Fluvents,85,Xeralfs
Xeralfs,85,Xeralfs
Xeralfs,50,Xeralfs
Xeralfs,85,Xeralfs
Ochrepts,45,Xerolls
Orthents,85,Xeralfs
Ochrepts,85,Ochrepts
Xererts,85,Xerolls
Xererts,85,Xererts
Xererts,85,Xererts
Xerolls,85,Xeralfs
Xererts,85,Aquerts
Aqualfs,85,Aquolls
Ochrepts,170,Xeralfs
Ochrepts,170,Xerolls
Xeralfs,85,Xeralfs
Xererts,150,Xeralfs
Xererts,150,Xererts
Xererts,150,Xeralfs
Xererts,45,Xeralfs
Xererts,90,Xererts
Ochrepts,85,Ochrepts
Ochrepts,85,Xeralfs
Xererts,45,Xeralfs
Xererts,85,Xerolls
Xererts,85,Xeralfs
